date,model_id,likes,downloads,downloads_all_time
2025-04-09,RedHatAI/gemma-2-9b-it-quantized.w4a16,2,140,3727
2025-04-09,RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-Dynamic,12,214349,449227
2025-04-09,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,3,2474,12669
2025-04-09,RedHatAI/Qwen2.5-VL-7B-Instruct-quantized.w4a16,3,1048,1515
2025-04-09,RedHatAI/oBERT-teacher-squadv1,0,8,6799
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-80-squadv1,0,8,267
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-90-squadv1,0,11,340
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-97-squadv1,0,3,257
2025-04-09,RedHatAI/oBERT-teacher-mnli,0,4,470
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-80-mnli,0,2,271
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-90-mnli,0,5,12222
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-97-mnli,0,8,223
2025-04-09,RedHatAI/oBERT-teacher-qqp,0,2,516
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-80-qqp,0,2,246
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-90-qqp,0,5,296
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-unstructured-97-qqp,0,2,275
2025-04-09,RedHatAI/oBERT-12-upstream-pretrained-dense,0,2,623
2025-04-09,RedHatAI/oBERT-6-upstream-pretrained-dense,0,6,595
2025-04-09,RedHatAI/oBERT-3-upstream-pretrained-dense,0,3,1239
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-90,0,5,675
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-97,0,3,590
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-90-finetuned-squadv1,0,2,304
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-97-finetuned-squadv1,0,2,371
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-90-finetuned-mnli,0,3,294
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-97-finetuned-mnli,0,2,315
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-90-finetuned-qqp,0,4,255
2025-04-09,RedHatAI/oBERT-12-upstream-pruned-unstructured-97-finetuned-qqp,0,5,317
2025-04-09,RedHatAI/oBERT-12-downstream-dense-squadv1,0,3,423
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-block4-80-squadv1,0,6,245
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-block4-90-squadv1,0,2,257
2025-04-09,RedHatAI/oBERT-6-downstream-dense-squadv1,0,5,611
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-unstructured-80-squadv1,0,4,273
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-unstructured-90-squadv1,0,6,278
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-block4-80-squadv1,1,24,367
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-block4-90-squadv1,0,3,247
2025-04-09,RedHatAI/oBERT-3-downstream-dense-squadv1,0,2,2542
2025-04-09,RedHatAI/oBERT-3-downstream-pruned-unstructured-80-squadv1,0,2,241
2025-04-09,RedHatAI/oBERT-3-downstream-pruned-unstructured-90-squadv1,0,3,236
2025-04-09,RedHatAI/oBERT-3-downstream-pruned-block4-80-squadv1,0,3,236
2025-04-09,RedHatAI/oBERT-3-downstream-pruned-block4-90-squadv1,0,2,255
2025-04-09,RedHatAI/oBERT-12-downstream-dense-QAT-squadv1,0,3,250
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-block4-80-QAT-squadv1,0,3,247
2025-04-09,RedHatAI/oBERT-12-downstream-pruned-block4-90-QAT-squadv1,0,2,226
2025-04-09,RedHatAI/oBERT-6-downstream-dense-QAT-squadv1,0,5,238
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-block4-80-QAT-squadv1,0,6,262
2025-04-09,RedHatAI/oBERT-6-downstream-pruned-block4-90-QAT-squadv1,0,3,251
